,Answers,sentiment,Score,Magnitude,
0,I could see Ray going out in the world and trying to cross the street in a neighborhood. Someone would help Ray cross safely without getting hit. Most likely that person would be even kinder and ask Ray where its going and help Ray get there. They would at the least give Ray directions and tips. If there are any children in the neighborhood they would run up to inspect Ray and say hi (but probably not to play),Neutral,-0.100000001490116,1.29999995231628,
1,Perhaps a human might touch Ray's arm and tell it it was doing a good job. Ray might return the warmth of the gesture and thank the human.,Positive,0.300000011920929,0.600000023841858,
2,"Some people would just go about treating Ray like they do everyone else. For example, someone may just open the door for her without thinking. Ray wouldn't have any emotions toward it, but the person would do it out of kindness and habit. ",Negative,-0.400000005960465,1.39999997615814,
3,"A perfect case scenario would be when a human offers to wipe some dirt off of Ray's body.
Another would be when a human offers to help him replace his battery in the event that it shuts down.",Neutral,0,0.699999988079071,
4,"It would look kind but odd at the same time for it to be treated as if it were human, perhaps in a scenario where Ray is in display in public, a person might start a dialogue with Ray and have a conversation as a human would. In this there would be feelings of kindness and care",Negative,-0.5,1,
5,"Ray encounters a human that asks it nice questions about how Ray's day has been going and what Ray has been doing. The human seems to take an interest in Ray and what Ray does in a day to day setting. The human will also continuously listen to Rat instead of putting themselves above Ray, showing that they find themselves and Ray to be equal despite any differences. ",Neutral,0.100000001490116,1.29999995231628,
6,"Ray has a broken wire that makes its arm dangle from its shoulder. Ray goes to the mechanic to fix up the car its driving. While there, the mechanic fixes Ray's arm too.",Neutral,-0.100000001490116,0.800000011920929,
7,"The human assumes responsibility for the robot. Perhaps taking it home. Perhaps explaining certain situations, circumstances, as well as experiences along the way. I would imagine that the maintenance of the robot would also be a large factor in such care.",Neutral,0,0.300000011920929,
8,Ray is programmed to visit a local park to record what it finds in flora and fauna. However the park ground is uneven causing Ray to step in a hole and fall over. Ray has trouble getting back to its feet so a passerby assists the robot in standing up.,Negative,-0.400000005960465,1.5,
9,"Spoken to with kindness. Helped with any problem that may arise. Given consideration as other people are. Offered things, like a place to sit or a space to stand out of the rain. ",Positive,0.400000005960465,2,
10,"Ray would be listened to.
Ray would be respected.
Ray would be trusted as an intelligent source of being .",Neutral,0,0.800000011920929,
11,A human might help the robot complete a task if its unable to. Someone could compliment it verbally. Someone could educate ray on how to complete a task.,Neutral,-0.100000001490116,0.300000011920929,
12,"Rays' creator loves to expand on and teach Ray new things. He/She takes Ray outside to parks so Ray can see the wildlife and the activity of life, Ray is also brought to museums to learn history and see the beauty of paintings. When Ray has a faulty part or needs an upgrade the creator always has a solution to improve the quality of life of Ray.",Positive,0.800000011920929,2.40000009536743,
13,"I don't think Ray would be capable of responding in a meaningful way to this level of a human's ""care"" for Ray's well being but only as a machine built to react to it's world with logic. ",Negative,-0.699999988079071,0.699999988079071,
14,"The human would be respectful of Ray and not take advantage of the robot, which would have information to understand this. The human would ask questions to determine if Ray was doing well or not and try to address any problems, which Ray could interpret through programming to be care. There would be a bond and Ray would be programmed to recognize the care being shown.",Negative,-0.300000011920929,0.899999976158142,
15,"If Ray were to be out walking my dog, I could imagine people interacting in a positive way similar to how people interact with others walking their dogs. People always like to see dogs out on walks. I almost always is a positive situation.",Positive,0.300000011920929,1.10000002384186,
16,"Jenny needed to talk to someone. Someone recommended to talk to Ray in one of the therapist office since, it is fairly cheap she tried it. She felt very comfortable with Ray. She started talking to him and felt more happy that someone is listening to her.",Positive,0.300000011920929,2.20000004768372,
17,"As Ray continues to walk down the sidewalk, he encounters a woman that takes to him immediately. They begin to talk about different topics. The lady is intrigued and begin to ask Ray questions about how he functions on a daily basis. ",Neutral,0.200000002980232,0.600000023841858,
18,John Couldnt wait to go to the toy store with his father so that they could get his older brother Caleb a gift for his birthday. When he saw the little robot named Ray he couldnt help but grab the robot feeling like it was the best choice for his brother. When is father saw it he couldnt help but feel like this was the best gift for someone like Caleb who was not only into robotics but also was high on the ASD spectrum. knowing that the boy would be able to emotinally take care of the toy. ,Positive,0.5,2.29999995231628,
19,"Ray does not have an emotional well-being since it is not alive. Yet, the human and take care of Ray, and make sure that he is functioning a capacity. They can even show kindness by telling Ray good job on something. However, why? Ray is just a robot, and kind of creepy.",Neutral,-0.200000002980232,3.20000004768372,
20,"The human will pet Ray gently on the head, similar to a pet. The human will be intrigued to hold a conversation with Ray to show the relation of companionship. The human will want to cuddle to make Ray feel loved. The human might also ask Ray to entertain young family members to better make it feel a part of the family.",Neutral,0.200000002980232,1.10000002384186,
21,The person would talked to it in a kind voice. They would not kick or throw anything at Ray. They may help Ray if he had questions to ask the person.,Neutral,0,1.29999995231628,
22,"When the man saw Ray out on the street, he was very fascinated. He asked Ray many questions and Ray responded. The man saw that there was a puddle of water that may cause Ray some issues. He asked where where it was going and decided to carry Ray to its destination. ",Neutral,0,1.39999997615814,
23,"When speaking with Ray, the person doesn't just shout coldly at it. They say things like, ""Ray can you please tell me what the weather will be like?"" They respond with ""Thank you Ray"". They may even give it a gentle pat on the head. They also would clean ray and fix ray as needed.",Neutral,0,1,
24,Ray was lost and did not know where he was. Ray asked a human who was walking by to give him directions to the post office. The human was very kind in his interaction with Ray and provided Ray with detailed directions to the nearest post office.,Neutral,0,1.79999995231628,
25,"The human encounters Ray and is careful not to trip it or hurt it in any way. Ray is carried and moved with special care when needed and is asked if it is comfortable. After some time, the human gives Ray a chance to rest, to recharge. Ray is also given a chance to play a fun activity with the human.",Positive,0.600000023841858,2.70000004768372,
26,"The person sees Ray and interacts with it. They do not kick it, destroy it, throw it across the room or pour anything on it. It is a good day for Ray, as I expect most people would want to abuse it. ",Neutral,-0.100000001490116,1,
