,Video,Sentence,AllenNLP_label,AllenNLP_Prob,Textblob_Sentiment,Textblob_score
0,Video1,"For the whole time of the lockdown, we used to be in our rooms. The wardens held a meeting and made us understand how we should stay, the discipline and new rules we need to follow. When lockdown was announced, we were asked to buy ration for the whole month and not allowed to go back outside to shops. The hostel called the vegetable vendor to come outside the hostel every week, we would each go out one-by-one and buy our vegetables. From the time the lockdown was announced till today, we are being safe. 
We are also afraid of Covid, because we have come from so far and what if something happens to us. If we do this and stay well, then we can go back to the village eventually. Nowadays, even though wardens are allowing us, none of us are really that interested to go outside for shopping, roaming around etc. Once in a week, we go outside and get vegetables and groceries. 
Only if people are sick or have a fever, they might go out to visit the doctor/to the hospital. We are following all the rules strictly till now. I am still scared, they are saying a new strain of the virus might be spreading, so we are being very careful. We go to the factory, sit at our place & do our work, and come back to the hostel, make food and then go to bed. That is all the safety we need. 
We are very scared of going out and roaming around.",0,0.3941730856895447,Neutral,0.022782931354359923
1,Video2,"It has been very difficult. We were managing well before Covid, after Covid we are really struggling. Our children, who live in our native village with my mother-in-law, have not been able to go to school. With them there, and us here [in Bangalore] and not able to visit them, we are really having a difficult time.My children are not in school, they are at home only--they didn't go to school this year. They are running schools online, but we were not able to pay fees when it was due, so we did not send any of them to school this year. We try to send them for some tuitions nearby with some we know, but it is difficult. They are saying schools will open again in January 2021, we are planning to join the children back to school.",1,0.5783079266548157,Neutral,-0.10321969696969698
2,Video3,"We wear masks and carry sanitiser. Shahi also gives us sanitiser when we enter and leave the factory. When we come back to the room, we wash our clothes, have a bath, use sanitiser and then cook dinner. We follow the safety precautions as much as we did in the beginning.No, we did not face any major problems because of Covid--not even financial. ",1,0.6156964898109436,Neutral,0.065625
3,Video4,"I was visiting the village, and had heard about Covid in the news on the TV. I went home to the village on because my uncle died, and I returned on March 14. And the factory closed on March 28. When the lockdown happened, everyone realised how frightful the situation was, and the disease had spread so much. We did not really step out at all. We were told it spreads through the air by the hostel warden. She told us all to keep ourselves safe, as she cannot take care of so many girls at once. We also discussed within ourselves that if any one of us gets it, then it can easily spread in the hostel. So all the workers agreed to stay inside the hostel.",1,0.9597281217575073,Neutral,0.2388888888888889
4,Video5,"When I heard about it first, I had no idea what it was. Gradually, I learnt more information from the news and people around me that you should wear masks, that it spreads via the air and saliva droplets--so I became more cautious and started wearing masks. Initially I thought it was something normal, then as the number of cases increased I realised it was more serious.",1,0.7531775236129761,Neutral,0.22380952380952382
5,Video6,"I was visiting the village in March for my sister's wedding and returned to Bangalore around 13th March. That time I did not know much about Covid. After coming to Bangalore, I worked for a few days and then lockdown happened. That's when I learnt about Covid and its seriousness. We had a meeting with the hostel warden and she told us to wear masks and use sanitisers.",1,0.7205480933189392,Neutral,0.0
6,Video7,"I learnt about it when the first lockdown was announced. Shahi was closed for 1.5 months as Corona spreads through contact, and us travelling in the buses. A meeting was held in the factory by people from Shahi and Janodaya, and they explained about what Corona was. They talked about how the incidence of Covid-19 cases were increasing in Bangalore, and to wear masks, regularly sanitise your hands, maintain social distancing from other people and avoid moving close and talking to people.",1,0.9611538052558899,Neutral,0.011666666666666664
7,Video8,"I actually got a fever during lockdown. I had a drink which increased my acidity and gave me gastritis. It took me 10 days to get better -- I went to the hospital & took a blood test to check my symptoms. I was quite worried. But I knew I did not have Covid symptoms like coughing, sneezing, etc. The warden was also with me, and telling me not to worry, so that helped. My brothers and sisters were very worried about what happened to me, because I was so far away, and they couldn't come to visit/take care of me. My friends actually helped booked a flight ticket for me to return, when flights were resuming. And I was ready to return.",0,0.4500183165073395,Neutral,0.16666666666666666
8,Video9,"We were visiting our children in our village at the time the lockdown was announced. We had heard about Covid, but that was not why we had come to the village, we came to visit our children. We were able to return to Bangalore only after the lockdown was lifted around July. Everything was locked down everywhere, I could not get work in Tamil Nadu even if I wanted to.",0,0.1444912552833557,Neutral,0.11481481481481481
9,Video10,"Even if I went back to the village, I could have got Covid there. So staying here was fine. If I had stayed back in the village, I could have faced the same problem. I head that areas around my village like Sambhalpur and Sundargarh also had increasing number of Covid cases. I felt safe here in the hostel--the warden is here to take care of us. She keeps repeatedly telling us to be safe and maintain social distancing.",1,0.9762905836105347,Neutral,0.20714285714285716
10,Video11,"No one from the hostel really went home. The hostel warden explained that the incidence of Covid-19 cases in Bangalore is high, but everything is good (safe) in our home villages/towns. We were told we will be safe in the hostels, but if we travel home then we have to use transport like local trains and will come into contact with many people, and might get Covid that way. So, we are safe remaining in Bangalore, and we stayed back.",1,0.9623000025749207,Positive,0.34
11,Video12,"But then I realised that if I go back, I will not be paid my wages, so I convinced myself to stay back, and cancelled my ticket. My brother wanted to come here, but I have only one brother and if he comes here he will lose his job. I asked him to stay with my mother and take care of her, as we also need that money. My mother and sisters wanted me to come back. But I might have contracted Covid while traveling back. And when I go back to the village, everyone who I know would want to come see if I am okay, and who knows what could spread. And who will be able to come to the railway station or bus station to come pick me up, during these times? By going back, I would create problems, so I decided I would stay here itself, and told my family back home to stay safe. ",1,0.6089470386505127,Neutral,0.13636363636363635
12,Video13,None of my peers/friends from the hostel went home either.,0,0.045005444437265396,Neutral,0.0
13,Video14,I took some 10-12 days off to feel completely better before returning to the factory. ,0,0.08958079665899277,Positive,0.5
14,Video15,"It was very difficult to remain in lockdown. When you go to work freely everyday and then come home, you feel good. Suddenly, being home all the time you feel like someone has tied you up or imprisoned you. I felt very....it was very difficult. It's nice to come home after a day's work, but I can't be home all the time.I was not afraid to return to the factory because they took precautions for our safety--maintaining social distancing, walking in lines, providing sanitisers at entry and exit points. It's no problem, I feel it is safe in the factory. There's not many job prospects available in my village. ",1,0.5357571840286255,Neutral,0.07121212121212118
15,Video16,"Yes, it's only natural to feel scared when you hear the number of cases increasing.",0,0.372847318649292,Neutral,0.05
16,Video17,"I did not have any fears as such. Whatever is happening--it's not happening to me alone. There are 150-200 girls all experiencing this event together and trying to manage. The company gave us sanitisers, are checking our temperatures everyday before entering the factory and we wear masks all the time. This reduces the fear. ",1,0.6347689628601074,Neutral,-0.1
17,Video18,"In the beginning, the family told us not to go back due to Covid. But it was getting difficult to manage, especially with the kids--we will be able to maintain our homes only if we work. So we went back to work.",1,0.7842729091644287,Neutral,-0.017857142857142856
18,Video19,"Yes, when my family heard the number of cases are increasing in the city they wanted me to come back. The warden and sir's from Shahi told us why we want to take back Covid to the villages, so I convinced my parents that I will come back when everything becomes better. When they saw the condition worsening around them, then they realised the danger and agreed.",1,0.9021594524383545,Neutral,0.125
19,Video20,"I explained to them how the number of cases in Bangalore was quite high, and if I return home and come in contact with them then it increases their risk. I made them understand that this is not safe, and I will come home when the situation is better in Bangalore.I haven't gone back home since the beginning of the pandemic",1,0.8076762557029724,Neutral,0.10250000000000001
20,Video21,"None of the workers went home. All the trains had stopped. Everyone was scared, and decided to stay back. ",0,0.14096541702747345,Neutral,0.0
21,Video22,"Most workers returned. If some didn't, then it was probably due to individual circumstance--maybe they had problems at home, or their family did not allow it. Nowadays, the fear of Covid has reduced, anyway. People have seen the lockdown has lifted, and people are moving around more freely, so that makes them less fearful of Covid.",1,0.659558892250061,Neutral,0.029761904761904736
22,Video23,"However people who come from very far, like Tamil Nadu don't come to work anymore.",0,0.35758456587791443,Neutral,0.13
23,Video24,"Supervisors would come periodically to the hostels. Since we were not going outside, they came and distributed masks and sanitisers. They asked to be safe, and not be tense and they were there for us, and would take care of us. They told us to be strong and give courage to our parents, that we were safe here so that they don't worry. 
The Sir from the factory came and visited us, and I will not be able to forget that. They took care of us like we were their kids, I'm not sure even my parents might take care of us like that--they gave us money so we had food to eat and clothes to wear.",0,0.3132868707180023,Neutral,0.19285714285714287
24,Video25,"We saw on the TV that companies were reopening. I got a message on my phone that the company was reopening, and that's how I decided to go back.",0,0.2272651642560959,Neutral,0.0
25,Video26,"The sir from the company came to the hostel. He told us about the lockdown and to stay inside, wear masks and use sanitisers regularly, and to continue these practices when we resume duty.",1,0.967272937297821,Neutral,0.0
26,Video27,"The lockdown lasted for 40 days. Managers and HR staff from Shahi visited the hostels and held sessions about safety precautions to be taken--wear masks at all times, use sanitisers, maintain social distancing whenever possible and avoid going too close to people while speaking. Hostel wardens did not allow us to step outside at all during this period. Shahi told us it would take around 1.5 months for the factory to re-open. ",1,0.7573183178901672,Neutral,0.011111111111111112
27,Video28,"We got masks and sanitisers initially. Now we buy our own masks, or if someone has time they stitch themself a mask out of extra fabric. It's not too expensive. We can get a mask for 20 rupees, and we use 2-3 masks for 3-4 months. We can access them easily. We wear masks in hostel when we go down to drink water or to eat. While in the room, we don't wear a mask. ",0,0.12596148252487183,Neutral,0.06296296296296296
28,Video29,"They give masks, gloves, sanitisers. Soap is available in the washroom. We get hot water to drink. Certain workers were already wearing masks & caps while working pre-Covid to avoid dust. We are expected to buy our own masks.",1,0.7818606495857239,Positive,0.27285714285714285
29,Video30,We were given masks and sanitisers.,1,0.5612950325012207,Neutral,0.0
30,Video31,"When they visited the hostel, Shahi distributed masks and sanitisers to us. In the first month of the factory reopening, they provided masks and would provide sanitisers at regular intervals during the work day. After that, we buy masks ourselves. We are given sanitisers at the entry gate while punching in and punching out every day. Initially supervisors and floor-in charge were wearing face shields. But workers wore only masks. ",1,0.7186488509178162,Neutral,0.0625
31,Video32,"The factory is 2 mins aways by foot. People who used to live farther away tried whatever means they could to get to the factory--they would walk partway, come by rickshaws, their own bikes and so on.",0,0.1994800716638565,Positive,0.36818181818181817
32,Video33,"I get up a 5 am. I bathe, and make food in the hostel kitchen--rice and dal usually packed in tiffin for lunch. I walk to the factory around 8:30 am, as it is close by.",1,0.9477386474609375,Negative,-0.25
33,Video34,"It is only a 5 minute walk from my hostel to the company, so I walk. People who lived far away and had to travel to the company by bus or public transport were told not to come. Nowadays, everyone is allowed to travel to the factory. However people who come from very far, like Tamil Nadu don't come to work anymore.",0,0.13994437456130981,Neutral,0.0575
34,Video35,"Give us sanitiser-->check temperature. When you enter the factory, sit at your machine, don't go near anyone else and just get to work. They measured a distance of I think 3 ft between machines. When inside they used to get sanitiser two times a day while in the factory. While punching in attendance, we had to leave maintain distance. Security and factory staff are always going around saying wear your masks. Even if someone removes their mask for a moment, someone is there to correct them. ",0,0.11986353248357773,Neutral,0.1
35,Video36,We are restricted to sitting two people per table in the canteen while eating. Machines are kept farther apart. Daily cleaning of the workstation is done--they spray some kind of cleaning liquid. They try to minimise contact while passing clothes,0,0.3816176652908325,Positive,0.3
36,Video37,"As we enter the factory, we have to wear an ID card. We are given sanitiser, and they check our temperature, then we punch in. We wear our masks at all times while in the factory.

We have a meeting every morning with our supervisor. I don't understand what they speak in that meeting, as they speak in Kannada. I can understand if they speak in Hindi at least a little bit. We try to stand a little far away from each other while the meeting happens. We clean our machines with scrap cloth. The factory sweepers clean the work area around our machines. ",1,0.5064112544059753,Neutral,0.004761904761904761
37,Video38,"While entering the factory, along with marking attendance, our temperature is checked. All sewing machines were kept further distant apart. If we had to stand or move around while working, we were asked to maintain distance. We were not allowed to remove our masks at any moment. In the initial 1-2 months, security guards would distribute sanitiser every 1 hour on the shop floor; nowadays this is distributed only at the gate. ",0,0.18077246844768524,Neutral,-0.025
38,Video39,"Yes, [safety] it is good.",1,0.9937933683395386,Positive,0.7
39,Video40,No,0,8.572652586735785e-05,Neutral,0.0
40,Video41,Not reall,0,0.07603805512189865,Neutral,0.0
41,Video42,"Yes, I feel [safety] it is sufficient",1,0.9028039574623108,Neutral,0.0
42,Video43,"If people's temperature is high, they are asked to stand aside--it might be because it's hot and they have traveled. Even after a while if their temp is high, they are sent to the dispensary where the nurse checks them. I don't know what happens after that, I've not seen that. Maybe they send them to the hospital.",0,0.3661274313926697,Neutral,0.19000000000000003
43,Video44,"People with high temperature, or any signs of Covid (cough, fever) are sent back home. They are asked to check their symptoms, and got to the doctor to get it checked if necessary. They are given leave form until they get better.",1,0.5961712598800659,Neutral,0.165
